subject,description,category
Help with university exam,How should I study for university finals?,University Education
Throwing practice,How to improve handball throwing power?,Handball Sports
bake cake,I need advice about bake cake. How can I bake a chocolate cake without eggs?,Cooking
Hand numbness,Can you help me with this? My hand feels numb and tingling.,Hand Medical
Help with historical places,Best historical places to visit.,Tourism
Job opening,Find current job openings in my city.,Jobs
Reading practice,Can you help me with this? Need simple reading exercises for elementary students.,Elementary Education
entry level job,I need advice about entry level job. Need entry-level software developer jobs.,Jobs
Property search,Can you help me with this? Looking for houses for sale in my area.,Housing
University selection,Which universities are good for computer science?,College Admissions
tourism destination,I need advice about tourism destination. Popular tourism destinations in the area.,Tourism
school fees,I need advice about school fees. Need information about school tuition fees.,School
Index funds,Explain index fund investing.,Investing
Handball drills,Need handball training drills.,Handball Sports
Family marriage,Can you help me with this? How to discuss arranged marriage with family?,Matrimonial
travel itinerary,I need advice about travel itinerary. Plan a 6 day travel itinerary.,Travel
ETF investment,Can you help me with this? What are good ETFs for long-term investing?,Investing
Help with cooking tips,I am new to cooking and need basic kitchen tips.,Cooking
Head wound,Can you help me with this? Need help treating a small head wound.,Head Medical
Help with indoor handball,Tips for indoor handball practice.,Handball Sports
gift shopping,I need advice about gift shopping. Need gift ideas to buy online.,Shopping
Help with online shopping,Best websites for online shopping.,Shopping
watering schedule,I need advice about watering schedule. Need a watering schedule for houseplants.,Gardening
online banking login issue,I need advice about online banking login issue. I cannot log in to my online banking account.,Banking
Help with recommendation letters,How many recommendation letters are needed for admission?,College Admissions
Seizure concern,Need help understanding seizure symptoms.,Brain Medical
physics homework,I need advice about physics homework. Need help understanding force and motion.,High School Education
calculus basics,I need advice about calculus basics. Need help with derivatives and limits.,High School Education
weekend work,I need advice about weekend work. I need weekend work to earn extra money.,Jobs
Help with biology notes,Need notes on cells and genetics.,High School Education
Share market,Explain stock market trends.,Stocks
internship search,I need advice about internship search. Looking for summer internships.,Jobs
smartphone deal,I need advice about smartphone deal. Looking for affordable smartphone deals.,Shopping
Forehand drills,Can you help me with this? Need forehand tennis drills.,Tennis Sports
Lease problem,Can you help me with this? I have an issue with my rental lease agreement.,Rental
SAT preparation,Can you help me with this? I want to prepare for the SAT exam.,College Admissions
Help with housing program,How to apply for a government housing program?,Housing
Help with machine learning course,Looking for university-level AI and ML courses.,University Education
Help with university assignment,Need help with a computer science university assignment.,University Education
memory problem,I need advice about memory problem. I am having memory issues and need medical advice.,Brain Medical
Running shoes,Best shoes for long distance running.,Running Sports
Neighborhood choice,Can you help me with this? How do I choose a safe neighborhood to live in?,Housing
Help with scholarship help,Looking for scholarships for international students.,College Admissions
Migraine headache,I get severe migraines often.,Brain Medical
Ice hockey,Can you help me with this? Tips for ice hockey skating practice.,Hockey Sports
City tour,Can you help me with this? Need a city tour plan for tourists.,Tourism
Help with insurance question,What type of insurance should I consider?,Finance
Emotional support,I feel emotionally overwhelmed and need help.,Depression Medical
Counseling nearby,Find counseling services for mental health.,Depression Medical
Sprint practice,Can you help me with this? How can I improve sprint speed?,Running Sports
Find life partner,Looking for matrimonial websites to find a life partner.,Matrimonial
statement of purpose,I need advice about statement of purpose. Need help improving my statement of purpose.,College Admissions
class schedule,I need advice about class schedule. Need help understanding school class schedule.,School
Help with hockey tournament,Find local hockey tournaments.,Hockey Sports
Help with rent increase,My rent increased and I need advice.,Rental
Help with soup recipe,How do I make homemade tomato soup?,Cooking
park jogging,I need advice about park jogging. Best parks for jogging nearby.,Jogging Sports
Help with cheap flights,Need cheap flight tickets for vacation.,Travel
credit score,I need advice about credit score. How can I improve my credit score?,Finance
Hoodie recommendation,I need stylish hoodies for college.,Clothes
Neighborhood choice,How do I choose a safe neighborhood to live in?,Housing
Statement of purpose,Need help improving my statement of purpose.,College Admissions
Help with emergency fund,How much should I keep in an emergency fund?,Finance
Batting tips,Can you help me with this? How can I improve cricket batting?,Cricket Sports
Meal recommendation,Can you help me with this? What should I eat for dinner?,Food
Job websites,Can you help me with this? Best websites to find jobs.,Jobs
Portfolio advice,How should I diversify my investment portfolio?,Investing
Beach vacation,Best beach vacation places for couples.,Travel
Help with pizza place,Where can I get good pizza tonight?,Food
indian cooking,I need advice about indian cooking. How do I make simple Indian curry?,Cooking
full time role,I need advice about full time role. Looking for full-time employment after graduation.,Employment
Hockey tournament,Find local hockey tournaments.,Hockey Sports
Help with handball strategy,Need handball team strategy tips.,Handball Sports
Help with park jogging,Best parks for jogging nearby.,Jogging Sports
Warehouse job,Can you help me with this? Looking for warehouse or retail jobs.,Jobs
Jogging pace,What is a good jogging pace for beginners?,Jogging Sports
Help with track running,Need advice for track running practice.,Running Sports
School records,Can you help me with this? How can I request student records?,School
vacation package,I need advice about vacation package. Find tourism packages for couples.,Tourism
Help with cognitive issue,I am struggling with focus and memory lately.,Brain Medical
Long term investment,Can you help me with this? Best long-term investment options.,Investing
high school exams,I need advice about high school exams. How should I prepare for board exams?,High School Education
Help with migraine attack,I have a strong migraine with nausea.,Head Medical
Concussion symptoms,Can you help me with this? What are signs of a concussion?,Head Medical
Formal shirt,Looking for formal shirts for office interviews.,Clothes
Short term rental,Can you help me with this? Looking for short-term rental housing.,Rental
Calf pain,Can you help me with this? My calf muscle hurts after workout.,Leg Medical
Housing program,How to apply for a government housing program?,Housing
risk tolerance,I need advice about risk tolerance. How do I understand my investment risk level?,Investing
stock prediction,I need advice about stock prediction. Need help analyzing stock price movement.,Stocks
Help with matrimonial app,Which matrimonial apps are trustworthy?,Matrimonial
Help with apartment for rent,Need a one bedroom apartment for rent.,Rental
biology notes,I need advice about biology notes. Need notes on cells and genetics.,High School Education
Help with vacation package,Find tourism packages for couples.,Tourism
Help with remote job,Need remote work opportunities.,Jobs
Graduate course,Which graduate courses are good for AI specialization?,University Education
Relationship match,Looking for compatibility in marriage matching.,Matrimonial
Help with market news,Latest stock market news.,Stocks
Relationship match,Can you help me with this? Looking for compatibility in marriage matching.,Matrimonial
finger swelling,I need advice about finger swelling. My finger is swollen and painful.,Hand Medical
Help with internship search,Looking for summer internships.,Jobs
burger recommendation,I need advice about burger recommendation. Looking for the best burger restaurant.,Food
Help with salary negotiation,How do I negotiate salary after receiving an offer?,Employment
Final year project,Can you help me with this? Need ideas for a senior year project.,University Education
spin bowling,I need advice about spin bowling. Tips for spin bowling practice.,Cricket Sports
track running,I need advice about track running. Need advice for track running practice.,Running Sports
Help with cricket rules,Explain basic cricket rules.,Cricket Sports
Trading app,Best apps for stock trading.,Stocks
family housing,I need advice about family housing. Need housing suitable for a family.,Housing
Machine learning course,Looking for university-level AI and ML courses.,University Education
high school project,I need advice about high school project. Ideas for a high school research project.,High School Education
Bowling practice,Need tips for fast bowling.,Cricket Sports
running pace,I need advice about running pace. What pace should I run for a 10k?,Running Sports
Wire transfer question,I need to send money through a bank wire transfer.,Banking
Help with bake cake,How can I bake a chocolate cake without eggs?,Cooking
School presentation,Need topic ideas for a middle school presentation.,Middle School Education
distance vision,I need advice about distance vision. I cannot see clearly from far away.,Eye Medical
Help with joint pain,My finger joints hurt in the morning.,Hand Medical
Help with flight cancellation,My flight was cancelled and I need help.,Travel
application deadline,I need advice about application deadline. What documents are needed before college admission deadlines?,College Admissions
Crisis support,Can you help me with this? Need immediate help because I have nowhere to stay.,Homelessness
Help with cricket academy,Find a cricket coaching academy nearby.,Cricket Sports
Finger cut,Need advice for a deep cut on my finger.,Hand Medical
parent meeting,I need advice about parent meeting. Need help preparing for a parent teacher meeting.,School
community aid,I need advice about community aid. Looking for charities that help homeless people.,Homelessness
Help with application deadline,What documents are needed before college admission deadlines?,College Admissions
5k training,Create a beginner 5k running plan.,Running Sports
Backhand practice,How to improve tennis backhand?,Tennis Sports
Elementary homework,Need help with grade 3 homework.,Elementary Education
Help with neighborhood choice,How do I choose a safe neighborhood to live in?,Housing
Credit score,Can you help me with this? How can I improve my credit score?,Finance
Research paper,Can you help me with this? How do I write an academic research paper?,University Education
Help with calculus basics,Need help with derivatives and limits.,High School Education
Migraine attack,I have a strong migraine with nausea.,Head Medical
leg cramps,I need advice about leg cramps. I get muscle cramps in my legs.,Leg Medical
Wicket keeping,How to improve wicket keeping skills?,Cricket Sports
Trading app,Can you help me with this? Best apps for stock trading.,Stocks
lease problem,I need advice about lease problem. I have an issue with my rental lease agreement.,Rental
Help with transfer school,How do I transfer to a different school?,School
Housing assistance,Can you help me with this? Looking for low-income housing assistance.,Housing
Help with tomato plants,How to grow tomatoes in a backyard garden?,Gardening
Dry eyes,My eyes are dry and burning.,Eye Medical
Help with open savings account,I want to open a new savings account with a local bank.,Banking
Mental health,Can you help me with this? Need mental health counseling options.,Depression Medical
Help with indian restaurant,Recommend Indian food near me.,Food
University assignment,Can you help me with this? Need help with a computer science university assignment.,University Education
Debit card blocked,Can you help me with this? My debit card stopped working and I need help unblocking it.,Banking
Rental listing,Can you help me with this? Find rental properties near downtown.,Rental
Help with shelter application,How do I apply for a homeless shelter?,Homelessness
Anxiety support,Need help dealing with anxiety and stress.,Depression Medical
Help with account balance issue,My bank balance looks incorrect after a recent transaction.,Banking
homeless resources,I need advice about homeless resources. Find local resources for people without housing.,Homelessness
grade 7 math,I need advice about grade 7 math. Need help solving middle school algebra problems.,Middle School Education
Application deadline,What documents are needed before college admission deadlines?,College Admissions
handball rules,I need advice about handball rules. How is handball played?,Handball Sports
Help with entry level job,Need entry-level software developer jobs.,Jobs
Basketball shoes,Can you help me with this? Best basketball shoes for indoor court.,Basketball Sports
baseball training,I need advice about baseball training. Need baseball training drills.,Baseball Sports
Sightseeing tour,Can you help me with this? Need sightseeing places in the city.,Tourism
Court practice,Need tennis court practice tips.,Tennis Sports
Home inspection,Can you help me with this? What should I check before buying a house?,Housing
guided tour,I need advice about guided tour. Looking for guided city tours.,Tourism
blurred vision,I need advice about blurred vision. My vision is blurry and unclear.,Eye Medical
Help with stock prediction,Need help analyzing stock price movement.,Stocks
Cover letter,Help me write a professional cover letter.,Employment
history essay,I need advice about history essay. Need help structuring a history essay.,High School Education
restaurant nearby,I need advice about restaurant nearby. Best restaurants near me for dinner.,Food
Help with high school project,Ideas for a high school research project.,High School Education
ball handling,I need advice about ball handling. How to improve dribbling skills?,Basketball Sports
Help with itchy eyes,Why are my eyes itchy and red?,Eye Medical
basketball coaching,I need advice about basketball coaching. Looking for basketball coaching nearby.,Basketball Sports
Financial planning,How should I plan my personal finances?,Finance
Housing crisis,Can you help me with this? I lost my housing and need support.,Homelessness
down payment,I need advice about down payment. Need advice saving for a house down payment.,Housing
Jogging plan,Create a weekly jogging plan.,Jogging Sports
long term investment,I need advice about long term investment. Best long-term investment options.,Investing
Help with low motivation,I have no motivation and feel tired all the time.,Depression Medical
handball coaching,I need advice about handball coaching. Looking for handball coaching nearby.,Handball Sports
Help with investment account,How to open an investment account?,Investing
Help with elementary homework,Need help with grade 3 homework.,Elementary Education
Help with hockey coaching,Looking for hockey coaching nearby.,Hockey Sports
Help with dizziness after fall,I feel dizzy after falling and hitting my head.,Head Medical
Help with short term rental,Looking for short-term rental housing.,Rental
cricket rules,I need advice about cricket rules. Explain basic cricket rules.,Cricket Sports
novel suggestions,I need advice about novel suggestions. Suggest some popular fiction novels.,Books
Career change,Can you help me with this? How can I switch from support to software development?,Employment
Help with family housing,Need housing suitable for a family.,Housing
School fees,Can you help me with this? Need information about school tuition fees.,School
Help with reading practice,Need simple reading exercises for elementary students.,Elementary Education
ipl schedule,I need advice about ipl schedule. When is the next IPL cricket match?,Cricket Sports
Help with stress management,Need help managing stress and anxiety.,Depression Medical
Emergency help,I need urgent help with shelter and basic needs.,Homelessness
Hand injury,Can you help me with this? I injured my hand and need treatment advice.,Hand Medical
Calf pain,My calf muscle hurts after workout.,Leg Medical
Winter jacket,Can you help me with this? Need a warm winter jacket for cold weather.,Clothes
Grand slam,Latest tennis grand slam updates.,Tennis Sports
Reading comprehension,Practice questions for middle school reading.,Middle School Education
Basketball drills,Need basketball practice drills.,Basketball Sports
Finger cut,Can you help me with this? Need advice for a deep cut on my finger.,Hand Medical
international trip,I need advice about international trip. Need advice for international travel.,Travel
apply for jobs,I need advice about apply for jobs. How do I apply for jobs online?,Jobs
Tourism destination,Can you help me with this? Popular tourism destinations in the area.,Tourism
share market,I need advice about share market. Explain stock market trends.,Stocks
Hockey stick,Need recommendations for a hockey stick.,Hockey Sports
Reading comprehension,Can you help me with this? Practice questions for middle school reading.,Middle School Education
Cognitive issue,Can you help me with this? I am struggling with focus and memory lately.,Brain Medical
resume review,I need advice about resume review. Need feedback on my resume for software roles.,Employment
job websites,I need advice about job websites. Best websites to find jobs.,Jobs
open savings account,I need advice about open savings account. I want to open a new savings account with a local bank.,Banking
debit card blocked,I need advice about debit card blocked. My debit card stopped working and I need help unblocking it.,Banking
Help with lab report,How do I write a chemistry lab report?,High School Education
Investment account,Can you help me with this? How to open an investment account?,Investing
Index funds,Can you help me with this? Explain index fund investing.,Investing
hip pain,I need advice about hip pain. My hip and upper leg hurt while walking.,Leg Medical
Vacation package,Can you help me with this? Find tourism packages for couples.,Tourism
Help with kids science,Explain simple science experiments for young children.,Elementary Education
Class schedule,Can you help me with this? Need help understanding school class schedule.,School
Help with atm withdrawal problem,The ATM charged me but did not give cash.,Banking
pitching practice,I need advice about pitching practice. Tips to improve baseball pitching.,Baseball Sports
Help with scalp pain,My scalp hurts after an injury.,Head Medical
Help with matrimonial profile,How do I write a good matrimonial profile?,Matrimonial
job opening,I need advice about job opening. Find current job openings in my city.,Jobs
Help with anxiety support,Need help dealing with anxiety and stress.,Depression Medical
Finger swelling,Can you help me with this? My finger is swollen and painful.,Hand Medical
Weekend work,I need weekend work to earn extra money.,Jobs
Carpal tunnel,What are symptoms of carpal tunnel?,Hand Medical
Geometry basics,Explain angles and triangles for middle school.,Middle School Education
ATM withdrawal problem,Can you help me with this? The ATM charged me but did not give cash.,Banking
Database class,Help understanding database normalization.,University Education
Housing assistance,Looking for low-income housing assistance.,Housing
Help with buy textbooks,I need affordable textbooks for my college classes.,Books
kids clothes,I need advice about kids clothes. Looking for affordable clothes for children.,Clothes
Graduate course,Can you help me with this? Which graduate courses are good for AI specialization?,University Education
Help with python book,What is a good book for learning Python programming?,Books
dry eyes,I need advice about dry eyes. My eyes are dry and burning.,Eye Medical
Kids science,Can you help me with this? Explain simple science experiments for young children.,Elementary Education
College application,I need help applying to universities for admission.,College Admissions
Concussion symptoms,What are signs of a concussion?,Head Medical
Move in date,Looking for apartments available next month.,Rental
Book summary,Can you suggest books with short summaries?,Books
Distance vision,I cannot see clearly from far away.,Eye Medical
hand fracture,I need advice about hand fracture. I may have a hand fracture after falling.,Hand Medical
Buy textbooks,Can you help me with this? I need affordable textbooks for my college classes.,Books
Running pace,Can you help me with this? What pace should I run for a 10k?,Running Sports
Help with need shelter,I need emergency shelter tonight.,Homelessness
Help with head injury,I hit my head and feel dizzy.,Head Medical
Itchy eyes,Why are my eyes itchy and red?,Eye Medical
headache problem,I need advice about headache problem. I have a constant headache today.,Head Medical
Eye doctor,Need an ophthalmologist recommendation.,Eye Medical
Temporary housing,Can you help me with this? Where can I find temporary housing assistance?,Homelessness
Help with ball handling,How to improve dribbling skills?,Basketball Sports
Help with part time job,Looking for part-time jobs near me.,Jobs
Indian restaurant,Can you help me with this? Recommend Indian food near me.,Food
Cricket bat,Can you help me with this? Best cricket bat for beginners.,Cricket Sports
Hockey drills,Need hockey team practice drills.,Hockey Sports
Vision test,Where can I get my vision checked?,Eye Medical
Help with lease problem,I have an issue with my rental lease agreement.,Rental
Ebook help,Where can I buy or download ebooks legally?,Books
Migraine attack,Can you help me with this? I have a strong migraine with nausea.,Head Medical
Jeans shopping,Which jeans brand is good and affordable?,Clothes
index funds,I need advice about index funds. Explain index fund investing.,Investing
Memory problem,I am having memory issues and need medical advice.,Brain Medical
soup recipe,I need advice about soup recipe. How do I make homemade tomato soup?,Cooking
Physics homework,Need help understanding force and motion.,High School Education
Help with wedding match,Looking for a suitable marriage match.,Matrimonial
Help with thesis topic,Need help choosing a thesis topic.,University Education
Help with herb garden,How do I grow basil and mint at home?,Gardening
Shooting tips,Can you help me with this? How do I improve basketball shooting?,Basketball Sports
Low motivation,Can you help me with this? I have no motivation and feel tired all the time.,Depression Medical
breakfast recipe,I need advice about breakfast recipe. Need quick breakfast recipes before work.,Cooking
Help with baseball coaching,Looking for baseball coaching nearby.,Baseball Sports
summer outfit,I need advice about summer outfit. Need ideas for summer outfits and casual wear.,Clothes
book recommendations,I need advice about book recommendations. Recommend good mystery novels to read this month.,Books
stock risk,I need advice about stock risk. What are risks of trading stocks?,Stocks
Learn alphabet,How can my child learn ABC letters?,Elementary Education
Help with distance vision,I cannot see clearly from far away.,Eye Medical
Python book,What is a good book for learning Python programming?,Books
Shelter application,Can you help me with this? How do I apply for a homeless shelter?,Homelessness
Basketball shoes,Best basketball shoes for indoor court.,Basketball Sports
head pain,I need advice about head pain. Sharp pain on one side of my head.,Head Medical
hamstring injury,I need advice about hamstring injury. I pulled my hamstring while exercising.,Leg Medical
Local attractions,Can you help me with this? Popular local attractions for visitors.,Tourism
Help with breakfast recipe,Need quick breakfast recipes before work.,Cooking
Application deadline,Can you help me with this? What documents are needed before college admission deadlines?,College Admissions
Dunk training,Can you help me with this? How can I improve vertical jump for basketball?,Basketball Sports
Buy t-shirt,I want to buy comfortable cotton t-shirts for summer.,Clothes
Indoor handball,Can you help me with this? Tips for indoor handball practice.,Handball Sports
Kids clothes,Can you help me with this? Looking for affordable clothes for children.,Clothes
Homeless resources,Can you help me with this? Find local resources for people without housing.,Homelessness
concussion concern,I need advice about concussion concern. I may have a concussion after an accident.,Brain Medical
Plant care,How often should I water indoor plants?,Gardening
Dinner ideas,Can you help me with this? Need easy dinner recipes for beginners.,Cooking
History homework,Need help with grade 8 history assignment.,Middle School Education
Help with sat math,Need high school math practice for SAT.,High School Education
pizza place,I need advice about pizza place. Where can I get good pizza tonight?,Food
Dividend stocks,What are good dividend stocks?,Stocks
final year project,I need advice about final year project. Need ideas for a senior year project.,University Education
Hoodie recommendation,Can you help me with this? I need stylish hoodies for college.,Clothes
Help with international trip,Need advice for international travel.,Travel
Seizure concern,Can you help me with this? Need help understanding seizure symptoms.,Brain Medical
Help with broken hand,How do I know if my hand is broken?,Hand Medical
apartment for rent,I need advice about apartment for rent. Need a one bedroom apartment for rent.,Rental
clothes for wedding,I need advice about clothes for wedding. What should I wear to a wedding event?,Clothes
insurance question,I need advice about insurance question. What type of insurance should I consider?,Finance
book summary,I need advice about book summary. Can you suggest books with short summaries?,Books
Help with running form,How can I improve my running form?,Running Sports
jogging pace,I need advice about jogging pace. What is a good jogging pace for beginners?,Jogging Sports
backhand practice,I need advice about backhand practice. How to improve tennis backhand?,Tennis Sports
essay writing,I need advice about essay writing. How to write a high school English essay?,High School Education
Goalie practice,Tips for hockey goalie training.,Hockey Sports
Hockey stick,Can you help me with this? Need recommendations for a hockey stick.,Hockey Sports
Morning jogging,Best morning jogging routine for beginners.,Jogging Sports
feeling depressed,I need advice about feeling depressed. I feel sad and hopeless every day.,Depression Medical
Brain injury,Can you help me with this? I had a head impact and worry about brain injury.,Brain Medical
Full time role,Looking for full-time employment after graduation.,Employment
Help with story reading,Suggest story reading practice for kids.,Elementary Education
Help with jogging pace,What is a good jogging pace for beginners?,Jogging Sports
Help with study schedule,How should a middle school student prepare for exams?,Middle School Education
SAT math,Can you help me with this? Need high school math practice for SAT.,High School Education
Help with blurred vision,My vision is blurry and unclear.,Eye Medical
Gym clothes,Can you help me with this? I want breathable workout clothes for the gym.,Clothes
Indoor handball,Tips for indoor handball practice.,Handball Sports
Risk tolerance,Can you help me with this? How do I understand my investment risk level?,Investing
History homework,Can you help me with this? Need help with grade 8 history assignment.,Middle School Education
baseball tournament,I need advice about baseball tournament. Find local baseball tournaments.,Baseball Sports
Help with mlb updates,Latest baseball match scores and news.,Baseball Sports
Help with study guide books,I need exam preparation books for high school.,Books
jeans shopping,I need advice about jeans shopping. Which jeans brand is good and affordable?,Clothes
Help with school supplies,What supplies are needed for school?,School
Credit card payment,Can you help me with this? I want to pay my credit card bill through my bank app.,Banking
batting stance,I need advice about batting stance. How to improve my batting stance?,Baseball Sports
Healthy food,Suggest healthy food options for lunch.,Food
Pizza place,Can you help me with this? Where can I get good pizza tonight?,Food
Help with therapy help,Looking for a therapist for depression.,Depression Medical
Matchmaking advice,How should I evaluate a matrimonial match?,Matrimonial
migraine attack,I need advice about migraine attack. I have a strong migraine with nausea.,Head Medical
morning jogging,I need advice about morning jogging. Best morning jogging routine for beginners.,Jogging Sports
Cricket rules,Explain basic cricket rules.,Cricket Sports
discount coupon,I need advice about discount coupon. Need discount coupons and deals.,Shopping
Self help books,Can you help me with this? I want self improvement and productivity book recommendations.,Books
Winter jacket,Need a warm winter jacket for cold weather.,Clothes
Help with court practice,Need tips for indoor basketball practice.,Basketball Sports
buy t-shirt,I need advice about buy t-shirt. I want to buy comfortable cotton t-shirts for summer.,Clothes
Burger recommendation,Can you help me with this? Looking for the best burger restaurant.,Food
leg swelling,I need advice about leg swelling. My leg is swollen and painful.,Leg Medical
Investment account,How to open an investment account?,Investing
Transfer school,How do I transfer to a different school?,School
MLB updates,Can you help me with this? Latest baseball match scores and news.,Baseball Sports
Expense tracking,Best way to track daily expenses.,Finance
therapy help,I need advice about therapy help. Looking for a therapist for depression.,Depression Medical
Mutual funds,Need advice about mutual fund investing.,Investing
Wrist pain,Can you help me with this? My wrist hurts after typing all day.,Hand Medical
Ankle injury,Can you help me with this? I twisted my ankle during jogging.,Leg Medical
Handball tournament,Can you help me with this? Find local handball tournaments.,Handball Sports
Tax filing,Need help filing taxes this year.,Finance
marathon training,I need advice about marathon training. How do I train for a marathon?,Running Sports
Goalkeeping handball,Can you help me with this? Tips for handball goalkeeper practice.,Handball Sports
baseball rules,I need advice about baseball rules. Explain basic baseball rules.,Baseball Sports
Kids clothes,Looking for affordable clothes for children.,Clothes
Internship search,Can you help me with this? Looking for summer internships.,Jobs
Stock prediction,Need help analyzing stock price movement.,Stocks
Matrimonial profile,How do I write a good matrimonial profile?,Matrimonial
Security deposit,My landlord did not return my security deposit.,Rental
Help with 5k training,Create a beginner 5k running plan.,Running Sports
ebook help,I need advice about ebook help. Where can I buy or download ebooks legally?,Books
Physics homework,Can you help me with this? Need help understanding force and motion.,High School Education
mental health,I need advice about mental health. Need mental health counseling options.,Depression Medical
court practice,I need advice about court practice. Need tennis court practice tips.,Tennis Sports
writing sentences,I need advice about writing sentences. How can a child practice writing simple sentences?,Elementary Education
Help with multiplication tables,How to teach multiplication tables to kids?,Elementary Education
Recommendation letters,Can you help me with this? How many recommendation letters are needed for admission?,College Admissions
Share market,Can you help me with this? Explain stock market trends.,Stocks
Salary negotiation,Can you help me with this? How do I negotiate salary after receiving an offer?,Employment
Jogging shoes,Can you help me with this? Need comfortable shoes for jogging.,Jogging Sports
gym clothes,I need advice about gym clothes. I want breathable workout clothes for the gym.,Clothes
Basketball rules,Can you help me with this? Explain basketball fouls and rules.,Basketball Sports
history homework,I need advice about history homework. Need help with grade 8 history assignment.,Middle School Education
Travel insurance,Should I buy travel insurance?,Travel
Handball equipment,Can you help me with this? What equipment is needed for handball?,Handball Sports
Baseball rules,Explain basic baseball rules.,Baseball Sports
Online banking login issue,Can you help me with this? I cannot log in to my online banking account.,Banking
Healthy food,Can you help me with this? Suggest healthy food options for lunch.,Food
IPL schedule,When is the next IPL cricket match?,Cricket Sports
Matrimonial app,Which matrimonial apps are trustworthy?,Matrimonial
Help with grammar practice,Middle school English grammar exercises needed.,Middle School Education
Down payment,Can you help me with this? Need advice saving for a house down payment.,Housing
Full time role,Can you help me with this? Looking for full-time employment after graduation.,Employment
online shopping,I need advice about online shopping. Best websites for online shopping.,Shopping
Handball team,Can you help me with this? How to join a handball team?,Handball Sports
Community aid,Can you help me with this? Looking for charities that help homeless people.,Homelessness
Race preparation,Can you help me with this? How to prepare for a running race?,Running Sports
thumb pain,I need advice about thumb pain. My thumb hurts when I move it.,Hand Medical
Food delivery,Need cheap food delivery options.,Food
Help with memory problem,I am having memory issues and need medical advice.,Brain Medical
Stock trading,How do I buy and sell stocks online?,Stocks
Recommendation letters,How many recommendation letters are needed for admission?,College Admissions
Tomato plants,Can you help me with this? How to grow tomatoes in a backyard garden?,Gardening
Batting stance,How to improve my batting stance?,Baseball Sports
Help with seizure concern,Need help understanding seizure symptoms.,Brain Medical
Help with stock trading,How do I buy and sell stocks online?,Stocks
Help with neurologist help,Need a recommendation for a brain specialist.,Brain Medical
Help with emergency help,I need urgent help with shelter and basic needs.,Homelessness
Indian cooking,Can you help me with this? How do I make simple Indian curry?,Cooking
travel insurance,I need advice about travel insurance. Should I buy travel insurance?,Travel
Partner search,Can you help me with this? Need advice for finding a serious life partner.,Matrimonial
Tennis shoes,Can you help me with this? Best shoes for tennis court.,Tennis Sports
Help with goalie practice,Tips for hockey goalie training.,Hockey Sports
knee pain,I need advice about knee pain. My knee hurts when I walk or run.,Leg Medical
head trauma,I need advice about head trauma. Should I see a doctor after head trauma?,Head Medical
Tourism destination,Popular tourism destinations in the area.,Tourism
Help with debit card blocked,My debit card stopped working and I need help unblocking it.,Banking
Headache problem,Can you help me with this? I have a constant headache today.,Head Medical
Help with index funds,Explain index fund investing.,Investing
Help with ipl schedule,When is the next IPL cricket match?,Cricket Sports
Thesis topic,Can you help me with this? Need help choosing a thesis topic.,University Education
Help with emotional support,I feel emotionally overwhelmed and need help.,Depression Medical
Help with brain injury,I had a head impact and worry about brain injury.,Brain Medical
Machine learning course,Can you help me with this? Looking for university-level AI and ML courses.,University Education
handball tournament,I need advice about handball tournament. Find local handball tournaments.,Handball Sports
Help with cricket bat,Best cricket bat for beginners.,Cricket Sports
Help with nba highlights,Show latest basketball game highlights.,Basketball Sports
geometry basics,I need advice about geometry basics. Explain angles and triangles for middle school.,Middle School Education
wicket keeping,I need advice about wicket keeping. How to improve wicket keeping skills?,Cricket Sports
Salary negotiation,How do I negotiate salary after receiving an offer?,Employment
Baseball coaching,Can you help me with this? Looking for baseball coaching nearby.,Baseball Sports
Electronics store,Can you help me with this? Recommend electronics shopping websites.,Shopping
university selection,I need advice about university selection. Which universities are good for computer science?,College Admissions
Homeless support,Can you help me with this? Looking for community support because I am homeless.,Homelessness
dividend stocks,I need advice about dividend stocks. What are good dividend stocks?,Stocks
Story reading,Suggest story reading practice for kids.,Elementary Education
jogging injury,I need advice about jogging injury. How to avoid injuries while jogging?,Jogging Sports
cheap flights,I need advice about cheap flights. Need cheap flight tickets for vacation.,Travel
Restaurant nearby,Best restaurants near me for dinner.,Food
Help with food assistance,Need help finding free meals and support services.,Homelessness
Court practice,Can you help me with this? Need tennis court practice tips.,Tennis Sports
elementary homework,I need advice about elementary homework. Need help with grade 3 homework.,Elementary Education
Help with discount coupon,Need discount coupons and deals.,Shopping
Phonics practice,Looking for phonics activities for children.,Elementary Education
hockey drills,I need advice about hockey drills. Need hockey team practice drills.,Hockey Sports
Hockey coaching,Looking for hockey coaching nearby.,Hockey Sports
Kids science,Explain simple science experiments for young children.,Elementary Education
Head injury,Can you help me with this? I hit my head and feel dizzy.,Head Medical
Help with self help books,I want self improvement and productivity book recommendations.,Books
GRE admission,Do I need GRE scores for graduate admission?,College Admissions
eye doctor,I need advice about eye doctor. Need an ophthalmologist recommendation.,Eye Medical
Help with knee pain,My knee hurts when I walk or run.,Leg Medical
Shin pain,My shins hurt after running.,Leg Medical
Help with long term investment,Best long-term investment options.,Investing
bowling practice,I need advice about bowling practice. Need tips for fast bowling.,Cricket Sports
Help with housing crisis,I lost my housing and need support.,Homelessness
serve tips,I need advice about serve tips. How do I improve my tennis serve?,Tennis Sports
Scholarship help,Can you help me with this? Looking for scholarships for international students.,College Admissions
